danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,added_at,song_title,artists
0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,163636,5,2020-02-11T15:11:02Z,ROXANNE,Arizona Zervas
0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,239836,4,2020-02-11T12:45:31Z,Lucid Dreams,Juice WRLD
0.9420000000000001,0.382,10,-8.099,1,0.564,0.0019199999999999998,0.0,0.092,0.379,100.01700000000001,177864,4,2020-02-11T10:17:22Z,Splashin,Rich The Kid
0.682,0.58,11,-7.966,1,0.268,0.000848,0.0493,0.29,0.62,153.244,171334,4,2020-02-11T09:38:28Z,Wake Up,Lil Toe
0.899,0.735,4,-7.718999999999999,1,0.4,0.0506,0.0,0.15,0.884,143.001,188107,4,2020-02-11T09:19:15Z,UP THE SMOKE (with Offset),"Stunna 4 Vegas,Offset"
0.71,0.71,0,-2.474,1,0.0579,0.0716,1.07e-06,0.20600000000000002,0.7,169.94400000000002,217813,4,2020-02-11T08:35:57Z,Go To Town,Doja Cat
0.838,0.517,1,-7.615,0,0.23,0.132,0.00011399999999999999,0.0833,0.7340000000000001,86.98299999999999,250133,4,2020-02-10T21:48:59Z,L'enfant seul - Remasterisé,Oxmo Puccino
0.843,0.805,4,-5.946000000000001,0,0.26899999999999996,0.142,0.0,0.0771,0.615,94.946,270507,4,2020-02-10T10:19:56Z,Ms. Jackson,OutKast
0.755,0.875,7,-5.944,0,0.193,0.39899999999999997,0.0,0.115,0.39299999999999996,145.00799999999998,203301,4,2020-02-09T12:47:03Z,Maman ne le sait pas (feat. Niska),"Ninho,Niska"
0.815,0.7559999999999999,11,-5.349,0,0.11199999999999999,0.0517,4.1e-06,0.0875,0.45899999999999996,78.488,198008,4,2020-02-04T10:58:53Z,V&V,Josman
0.8320000000000001,0.473,3,-10.412,0,0.0505,0.825,7.55e-05,0.0965,0.35,119.834,209223,4,2020-02-04T10:34:42Z,Ma go,Moji x Sboy
0.8270000000000001,0.703,2,-4.623,1,0.11199999999999999,0.0617,0.0,0.0484,0.586,137.043,214456,4,2020-02-03T15:21:16Z,J'turn up (feat. Alkpote et Njd),"Jok'air,Alkpote,NJD"
0.7659999999999999,0.63,5,-7.9479999999999995,0,0.447,0.0294,0.0,0.10300000000000001,0.754,148.018,216902,4,2020-02-03T15:11:46Z,Mille-feuilles (feat. Le Juice),"Jok'air,Le Juice"
0.679,0.778,0,-6.102,0,0.0879,0.0447,1.53e-05,0.145,0.547,102.022,239960,4,2020-02-03T10:00:17Z,Châtelet Les Halles,Jok'air
0.222,0.7490000000000001,5,-16.19,1,0.04,0.377,0.879,0.0871,0.16,128.97899999999998,424186,4,2020-02-02T17:09:09Z,Sky To Abyss,Pragma Enigma
0.787,0.6729999999999999,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,237893,4,2020-01-28T10:48:41Z,Say So,Doja Cat
0.818,0.568,2,-4.814,1,0.375,0.0435,0.0,0.212,0.6579999999999999,84.01899999999999,171506,4,2020-01-27T15:51:45Z,Chasse aux sorcières,Hippocampe Fou
0.8590000000000001,0.664,7,-7.6160000000000005,1,0.113,0.17800000000000002,1.29e-06,0.17800000000000002,0.345,150.958,197199,4,2020-01-27T14:52:04Z,Nourrice,"Dj Weedim,6rano"
0.85,0.466,1,-15.673,1,0.0555,0.314,0.0234,0.129,0.86,109.936,222627,4,2020-01-24T19:46:57Z,Give Me the Night,George Benson
0.531,0.662,0,-5.819,1,0.135,0.10400000000000001,0.0561,0.282,0.295,179.981,448000,4,2020-01-22T08:36:22Z,Transit x Airport Light - Panda Dub Remix,"Zenzile,Panda Dub"
0.514,0.8029999999999999,1,-9.237,1,0.0327,0.000273,0.7879999999999999,0.275,0.47600000000000003,147.981,238797,4,2020-01-21T14:16:05Z,Karnage,Tetra Hydro K
0.7809999999999999,0.755,8,-7.024,1,0.0462,0.0296,0.00101,0.0756,0.555,145.984,188614,4,2020-01-21T10:35:40Z,Petit Boze Rmx,Biga Ranx
0.945,0.46,11,-6.892,0,0.0573,0.157,0.0,0.0858,0.736,130.065,177813,4,2020-01-21T09:45:29Z,"Monday (feat. LEJ, Akhenaton & Blundetto)","Biga Ranx,LEJ,Akhenaton,Blundetto"
0.366,0.9329999999999999,8,-3.826,0,0.0982,0.0221,0.0019399999999999999,0.17600000000000002,0.324,173.99400000000003,240733,4,2020-01-20T15:03:49Z,Demons,"T and Sugah,Voicians"
0.55,0.892,6,-2.425,0,0.0696,0.14300000000000002,0.0173,0.0983,0.44799999999999995,173.96,229332,4,2020-01-20T14:03:04Z,The Cure,Flite
0.5529999999999999,0.86,1,-4.512,0,0.0465,0.066,0.0188,0.122,0.447,173.998,293577,4,2020-01-20T13:58:36Z,Good Luv,"Murdock,Submatik,Jenna G"
0.63,0.795,7,-5.452999999999999,1,0.0546,0.0315,0.0,0.305,0.6509999999999999,169.93200000000002,234234,4,2020-01-18T09:35:00Z,Love Love Love,"Taïro,Pompis"
0.677,0.655,7,-5.541,1,0.0433,0.0027,0.276,0.162,0.146,100.119,196827,4,2020-01-14T13:56:15Z,Deira City Centre,Night Lovell
0.755,0.594,7,-5.906000000000001,1,0.21600000000000003,0.24100000000000002,0.0,0.107,0.237,178.929,238053,4,2020-01-14T12:48:51Z,Tribe (with J. Cole),"Bas,J. Cole"
0.726,0.769,6,-5.043,1,0.12300000000000001,0.0293,0.0101,0.10400000000000001,0.733,97.985,233902,4,2020-01-14T12:28:02Z,Unforgettable,"French Montana,Swae Lee"
0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.5489999999999999,95.083,224728,4,2020-01-14T10:34:23Z,16 Shots,Stefflon Don
0.8759999999999999,0.519,11,-6.531000000000001,1,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001,175230,4,2020-01-14T09:41:05Z,Plug Walk,Rich The Kid
0.5479999999999999,0.8290000000000001,1,-4.103,0,0.285,0.33899999999999997,0.0,0.537,0.452,93.62,194739,4,2020-01-14T09:30:23Z,Paper Trail$,Joey Bada$$
0.7140000000000001,0.604,0,-8.67,0,0.0947,0.19899999999999998,0.0187,0.0981,0.586,109.765,195456,4,2020-01-14T08:11:52Z,The Highest Bidder,Gordon Henderson
0.856,0.385,2,-10.066,1,0.0762,0.0348,0.00022400000000000002,0.111,0.583,119.48899999999999,298412,4,2020-01-13T14:50:12Z,Everybody Wants to Be a Star,"Guts,Wolfgang"
0.6940000000000001,0.804,4,-5.042,0,0.198,0.228,0.00702,0.389,0.624,92.01899999999999,264130,4,2020-01-13T07:39:05Z,Rain,Senbeï
0.8240000000000001,0.588,6,-6.4,0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,209438,4,2020-01-11T16:15:36Z,Dance Monkey,Tones And I
0.599,0.892,9,-5.773,0,0.051,0.0153,0.0517,0.0762,0.209,173.96,295172,4,2020-01-08T14:09:18Z,Back to the Street,"BCee,Philippa Hanna"
