,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists,genres,principal_genre
0,0.813,0.772,9,-9.24,0,0.0658,0.00305,0.593,0.09,0.482,130.022,audio_features,7M3z15mHrs62dK7ORUQisg,spotify:track:7M3z15mHrs62dK7ORUQisg,https://api.spotify.com/v1/tracks/7M3z15mHrs62dK7ORUQisg,https://api.spotify.com/v1/audio-analysis/7M3z15mHrs62dK7ORUQisg,318776,4,2019-02-19T22:35:33Z,The Power - Skynet 30E Remix,"Skynet,Snap",['neurofunk'],drum and bass
1,0.495,0.965,4,-4.447,0,0.186,1.86e-05,0.808,0.568,0.255,174.998,audio_features,1rYuyOObiYBfFNV1Ug88Sw,spotify:track:1rYuyOObiYBfFNV1Ug88Sw,https://api.spotify.com/v1/tracks/1rYuyOObiYBfFNV1Ug88Sw,https://api.spotify.com/v1/audio-analysis/1rYuyOObiYBfFNV1Ug88Sw,344856,4,2019-02-19T22:04:34Z,Ventil - Original Mix,Cooh,"['darkstep', 'neurofunk']",drum and bass
2,0.631,0.758,6,-10.252,1,0.0418,0.00659,0.918,0.093,0.163,124.999,audio_features,46AjssBVdrYtGCTXGhiiQP,spotify:track:46AjssBVdrYtGCTXGhiiQP,https://api.spotify.com/v1/tracks/46AjssBVdrYtGCTXGhiiQP,https://api.spotify.com/v1/audio-analysis/46AjssBVdrYtGCTXGhiiQP,543315,4,2019-02-13T22:22:48Z,Xander - Modkraft Remix,"Ben Rama,Modkraft",['psytech'],other
3,0.861,0.777,2,-8.943,1,0.0967,0.00314,0.879,0.0927,0.0272,125.984,audio_features,2OLilrAzT1rFtTM2Y2tsfO,spotify:track:2OLilrAzT1rFtTM2Y2tsfO,https://api.spotify.com/v1/tracks/2OLilrAzT1rFtTM2Y2tsfO,https://api.spotify.com/v1/audio-analysis/2OLilrAzT1rFtTM2Y2tsfO,396195,4,2019-02-12T08:09:42Z,Amalthea - Kevin de Vries Version,"The Reason Y,Kevin de Vries",['dark techno'],techno
4,0.795,0.777,1,-10.114,0,0.0539,0.167,0.936,0.111,0.0383,127.003,audio_features,2spksuDM1a7wICynsNMwGX,spotify:track:2spksuDM1a7wICynsNMwGX,https://api.spotify.com/v1/tracks/2spksuDM1a7wICynsNMwGX,https://api.spotify.com/v1/audio-analysis/2spksuDM1a7wICynsNMwGX,398430,4,2019-02-12T08:09:31Z,When I Am Only a Dream,ANNA,"['brazilian techno', 'dark techno', 'electra', 'minimal techno', 'tech house', 'techno']",techno
5,0.385,0.804,9,-8.926,1,0.0468,0.000104,0.904,0.466,0.236,130.001,audio_features,50jcQ3GvuqQkcm9Jehz7BJ,spotify:track:50jcQ3GvuqQkcm9Jehz7BJ,https://api.spotify.com/v1/tracks/50jcQ3GvuqQkcm9Jehz7BJ,https://api.spotify.com/v1/audio-analysis/50jcQ3GvuqQkcm9Jehz7BJ,458250,4,2019-02-12T08:07:06Z,The Fuzz,Thomas Schumacher,"['german techno', 'minimal techno', 'raw techno', 'tech house', 'techno']",techno
6,0.724,0.928,7,-7.866,1,0.0408,0.000499,0.88,0.0861,0.089,128.029,audio_features,7eT7ya92rl5OwWzKkK8mgf,spotify:track:7eT7ya92rl5OwWzKkK8mgf,https://api.spotify.com/v1/tracks/7eT7ya92rl5OwWzKkK8mgf,https://api.spotify.com/v1/audio-analysis/7eT7ya92rl5OwWzKkK8mgf,392109,4,2019-02-12T08:05:48Z,Artificial Species,Andre Keller,['dark techno'],techno
7,0.733,0.88,4,-8.798,0,0.0513,0.000443,0.938,0.105,0.0271,128.03,audio_features,16k71WllnshZTxs60f142M,spotify:track:16k71WllnshZTxs60f142M,https://api.spotify.com/v1/tracks/16k71WllnshZTxs60f142M,https://api.spotify.com/v1/audio-analysis/16k71WllnshZTxs60f142M,488000,4,2019-02-12T08:04:37Z,Wonder,"Victor Ruiz,Thomas Schumacher","['brazilian techno', 'dark techno', 'deep minimal techno', 'deep techno', 'minimal techno', 'tech house']",techno
8,0.809,0.871,7,-8.863,0,0.0545,0.0242,0.807,0.0897,0.0187,128.032,audio_features,0eCZ374V0zfrvAGiiy5ToH,spotify:track:0eCZ374V0zfrvAGiiy5ToH,https://api.spotify.com/v1/tracks/0eCZ374V0zfrvAGiiy5ToH,https://api.spotify.com/v1/audio-analysis/0eCZ374V0zfrvAGiiy5ToH,454219,4,2019-02-12T08:02:01Z,Cashmere,Hidden Empire,"['dark techno', 'deep melodic euro house', 'deep minimal techno', 'tech house']",techno
9,0.649,0.907,10,-7.016,1,0.0683,0.00194,0.834,0.112,0.236,131.989,audio_features,1wKvdhEdWatU04C5yM7trX,spotify:track:1wKvdhEdWatU04C5yM7trX,https://api.spotify.com/v1/tracks/1wKvdhEdWatU04C5yM7trX,https://api.spotify.com/v1/audio-analysis/1wKvdhEdWatU04C5yM7trX,276818,4,2019-02-12T07:56:30Z,Acid Lick,"T78,ROBPM","['dark techno', 'german dark minimal techno', 'italian techno', 'raw techno']",techno
10,0.866,0.828,8,-8.704,1,0.203,0.203,0.527,0.123,0.543,133.004,audio_features,53cLYZSnsw7BeJybRHPlox,spotify:track:53cLYZSnsw7BeJybRHPlox,https://api.spotify.com/v1/tracks/53cLYZSnsw7BeJybRHPlox,https://api.spotify.com/v1/audio-analysis/53cLYZSnsw7BeJybRHPlox,183333,4,2019-02-12T07:56:19Z,Move Your Body To The Beat,Reinier Zonneveld,"['dark techno', 'minimal techno', 'tech house']",techno
11,0.678,0.912,1,-10.101,1,0.0494,0.00233,0.853,0.102,0.142,130.001,audio_features,1S5DG6qHSlZOoIQ7gTDt2G,spotify:track:1S5DG6qHSlZOoIQ7gTDt2G,https://api.spotify.com/v1/tracks/1S5DG6qHSlZOoIQ7gTDt2G,https://api.spotify.com/v1/audio-analysis/1S5DG6qHSlZOoIQ7gTDt2G,416883,4,2019-02-12T07:23:32Z,Second Shot,Rudosa,"['dark techno', 'tech house']",techno
12,0.792,0.77,1,-5.505,1,0.0416,0.000617,0.876,0.0472,0.166,130.011,audio_features,5frpx0IFT5usJJyE993OHI,spotify:track:5frpx0IFT5usJJyE993OHI,https://api.spotify.com/v1/tracks/5frpx0IFT5usJJyE993OHI,https://api.spotify.com/v1/audio-analysis/5frpx0IFT5usJJyE993OHI,243720,4,2019-02-12T07:15:58Z,Low,i_o,"['bass house', 'edm', 'electro house', 'progressive house']",house
13,0.659,0.911,2,-9.568,1,0.0387,0.0422,0.873,0.111,0.0905,131.483,audio_features,6Yn6uVh4WEeguTFuGb9cC4,spotify:track:6Yn6uVh4WEeguTFuGb9cC4,https://api.spotify.com/v1/tracks/6Yn6uVh4WEeguTFuGb9cC4,https://api.spotify.com/v1/audio-analysis/6Yn6uVh4WEeguTFuGb9cC4,459429,4,2019-02-12T06:56:46Z,Gorgon - Original Mix,Joel Mull,"['dark techno', 'swedish electronic', 'swedish techno']",techno
14,0.693,0.638,6,-13.893,0,0.039,0.044,0.848,0.102,0.0701,129.992,audio_features,75EsXfZ7Oepa4SIdiFbPY1,spotify:track:75EsXfZ7Oepa4SIdiFbPY1,https://api.spotify.com/v1/tracks/75EsXfZ7Oepa4SIdiFbPY1,https://api.spotify.com/v1/audio-analysis/75EsXfZ7Oepa4SIdiFbPY1,458769,4,2019-02-11T19:51:43Z,Ufo,Ellen Allien,"['electra', 'electroclash', 'electronica', 'german techno', 'microhouse', 'minimal techno', 'tech house']",techno
15,0.683,0.936,4,-6.382,0,0.0556,0.00018,0.656,0.155,0.0372,124.996,audio_features,6zh9PwKwiVGrpkt6WLMzkl,spotify:track:6zh9PwKwiVGrpkt6WLMzkl,https://api.spotify.com/v1/tracks/6zh9PwKwiVGrpkt6WLMzkl,https://api.spotify.com/v1/audio-analysis/6zh9PwKwiVGrpkt6WLMzkl,360860,4,2019-02-11T18:44:41Z,Mars,Julian Jeweil,"['dark techno', 'deep minimal techno', 'french techno', 'minimal techno', 'tech house']",techno
16,0.662,0.676,7,-9.889,1,0.0425,0.00855,0.891,0.118,0.238,127.001,audio_features,5qLZvk6aOHiP7ojmSVuCq0,spotify:track:5qLZvk6aOHiP7ojmSVuCq0,https://api.spotify.com/v1/tracks/5qLZvk6aOHiP7ojmSVuCq0,https://api.spotify.com/v1/audio-analysis/5qLZvk6aOHiP7ojmSVuCq0,420000,4,2019-02-11T17:47:41Z,Sinematic,Zimmz,['dark techno'],techno
17,0.715,0.84,5,-8.64,0,0.0483,9.53e-05,0.848,0.152,0.156,128.012,audio_features,6nUnghMhzgPoaAydHHi8jd,spotify:track:6nUnghMhzgPoaAydHHi8jd,https://api.spotify.com/v1/tracks/6nUnghMhzgPoaAydHHi8jd,https://api.spotify.com/v1/audio-analysis/6nUnghMhzgPoaAydHHi8jd,435043,4,2019-02-11T17:47:30Z,Chant Rush - Original Mix,Spektre,"['dark techno', 'deep minimal techno', 'minimal techno', 'raw techno', 'tech house']",techno
18,0.803,0.745,11,-9.905,0,0.0576,0.182,0.879,0.113,0.585,120.039,audio_features,17aqeML5qbefulUjz4JCjN,spotify:track:17aqeML5qbefulUjz4JCjN,https://api.spotify.com/v1/tracks/17aqeML5qbefulUjz4JCjN,https://api.spotify.com/v1/audio-analysis/17aqeML5qbefulUjz4JCjN,243467,4,2019-02-06T18:07:42Z,Heimat - Original,Kollektiv Turmstrasse,"['deep euro house', 'deep melodic euro house', 'electronica', 'german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'organic electronic', 'tech house']",house
19,0.718,0.541,2,-9.262,1,0.0391,0.0143,0.476,0.148,0.0898,136.03,audio_features,3fW0qHrlcv8y0pc6SHo66V,spotify:track:3fW0qHrlcv8y0pc6SHo66V,https://api.spotify.com/v1/tracks/3fW0qHrlcv8y0pc6SHo66V,https://api.spotify.com/v1/audio-analysis/3fW0qHrlcv8y0pc6SHo66V,478261,4,2019-02-03T02:02:10Z,Angels of Destruction - Neelix Remix,"Phaxe,Caroline Harrison,Neelix","['brazilian edm', 'progressive psytrance']",techno
0,0.721,0.533,7,-9.48,1,0.066,0.0309,0.923,0.0862,0.269,121.974,audio_features,7sl0onMn1Nvla23M32r91s,spotify:track:7sl0onMn1Nvla23M32r91s,https://api.spotify.com/v1/tracks/7sl0onMn1Nvla23M32r91s,https://api.spotify.com/v1/audio-analysis/7sl0onMn1Nvla23M32r91s,416442,4,2019-02-03T01:12:45Z,Feiern,Solee,"['deep euro house', 'deep melodic euro house', 'minimal techno', 'tech house']",house
1,0.39,0.389,0,-14.025,1,0.0503,0.0978,0.94,0.115,0.239,100.648,audio_features,1hW0VwYPGPzkz2CIXVIY78,spotify:track:1hW0VwYPGPzkz2CIXVIY78,https://api.spotify.com/v1/tracks/1hW0VwYPGPzkz2CIXVIY78,https://api.spotify.com/v1/audio-analysis/1hW0VwYPGPzkz2CIXVIY78,234627,4,2018-12-28T02:38:16Z,Hopopono,GoGo Penguin,"['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'nu jazz', 'progressive jazz fusion']",jazz
2,0.585,0.747,7,-5.689,0,0.0544,0.307,0.0216,0.0849,0.922,200.135,audio_features,1NeadPV3BTH4abvDJSCTcd,spotify:track:1NeadPV3BTH4abvDJSCTcd,https://api.spotify.com/v1/tracks/1NeadPV3BTH4abvDJSCTcd,https://api.spotify.com/v1/audio-analysis/1NeadPV3BTH4abvDJSCTcd,239727,3,2018-12-25T08:05:01Z,Down The Sink,King Gizzard & The Lizard Wizard,"['australian indie', 'australian psych', 'neo-psychedelic']",other
3,0.655,0.828,5,-6.914,0,0.38,0.251,0.00038,0.0886,0.692,120.203,audio_features,3KS6bXQgj4ZnYMZuK1Bpdv,spotify:track:3KS6bXQgj4ZnYMZuK1Bpdv,https://api.spotify.com/v1/tracks/3KS6bXQgj4ZnYMZuK1Bpdv,https://api.spotify.com/v1/audio-analysis/3KS6bXQgj4ZnYMZuK1Bpdv,226293,4,2018-12-25T08:01:31Z,What A Dirty Night,Nina Attal,[],other
4,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,audio_features,0oks4FnzhNp5QPTZtoet7c,spotify:track:0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/tracks/0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/audio-analysis/0oks4FnzhNp5QPTZtoet7c,544627,4,2018-12-25T07:46:42Z,Giorgio by Moroder,Daft Punk,"['electro', 'filter house']",house
5,0.743,0.897,1,-9.477,0,0.045,0.0185,0.818,0.374,0.253,143.012,audio_features,2fccvvJpbzJ4WIgrzKAdMW,spotify:track:2fccvvJpbzJ4WIgrzKAdMW,https://api.spotify.com/v1/tracks/2fccvvJpbzJ4WIgrzKAdMW,https://api.spotify.com/v1/audio-analysis/2fccvvJpbzJ4WIgrzKAdMW,318427,4,2018-12-21T08:17:08Z,Nougatine,"Rakoon,Tetra Hydro K",['electro dub'],reggae
6,0.671,0.899,11,-4.935,0,0.0424,0.000816,0.901,0.114,0.0517,134.99,audio_features,4KFuPst6Zy4R9wCzWVSaMH,spotify:track:4KFuPst6Zy4R9wCzWVSaMH,https://api.spotify.com/v1/tracks/4KFuPst6Zy4R9wCzWVSaMH,https://api.spotify.com/v1/audio-analysis/4KFuPst6Zy4R9wCzWVSaMH,341661,4,2018-12-21T08:08:58Z,Stigma,Randomer,"['bass music', 'float house', 'minimal dub']",house
7,0.738,0.411,2,-9.042,1,0.0321,0.602,0.709,0.0891,0.627,79.595,audio_features,0jtfFvDuBOdEovCCbwAJP1,spotify:track:0jtfFvDuBOdEovCCbwAJP1,https://api.spotify.com/v1/tracks/0jtfFvDuBOdEovCCbwAJP1,https://api.spotify.com/v1/audio-analysis/0jtfFvDuBOdEovCCbwAJP1,132800,4,2018-12-11T16:11:21Z,Safe Travel,Phil Pratt,[],other
8,0.335,0.982,9,-4.135,1,0.11,0.000567,0.873,0.323,0.297,180.079,audio_features,3vGlTXI8HJKuVryF7yXRxW,spotify:track:3vGlTXI8HJKuVryF7yXRxW,https://api.spotify.com/v1/tracks/3vGlTXI8HJKuVryF7yXRxW,https://api.spotify.com/v1/audio-analysis/3vGlTXI8HJKuVryF7yXRxW,373347,4,2018-12-06T22:16:48Z,You and Me in Exosphere,Les Enfants Sages,['tekno'],other
