,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists
12,0.585,0.651,5,-5.317,0,0.2,0.0229,0.0105,0.097,0.4,172.082,audio_features,0nWx0KtQOstWXL6pkJpvnM,spotify:track:0nWx0KtQOstWXL6pkJpvnM,https://api.spotify.com/v1/tracks/0nWx0KtQOstWXL6pkJpvnM,https://api.spotify.com/v1/audio-analysis/0nWx0KtQOstWXL6pkJpvnM,252373,4,2019-10-20T19:41:04Z,Go 2,Netsky
13,0.435,0.847,8,-3.875,0,0.0579,0.0202,2.59e-05,0.0891,0.598,172.064,audio_features,0AQAdESuhbfV2ldTpO2MYF,spotify:track:0AQAdESuhbfV2ldTpO2MYF,https://api.spotify.com/v1/tracks/0AQAdESuhbfV2ldTpO2MYF,https://api.spotify.com/v1/audio-analysis/0AQAdESuhbfV2ldTpO2MYF,209040,4,2019-10-20T19:26:09Z,Thunder,"Netsky,Emeli Sandé"
14,0.662,0.535,0,-5.566,0,0.0421,0.13,0.0,0.267,0.307,142.905,audio_features,3e8XBTU0g45xGWk7Ag0FKZ,spotify:track:3e8XBTU0g45xGWk7Ag0FKZ,https://api.spotify.com/v1/tracks/3e8XBTU0g45xGWk7Ag0FKZ,https://api.spotify.com/v1/audio-analysis/3e8XBTU0g45xGWk7Ag0FKZ,126187,4,2019-10-19T18:42:10Z,Le temps de l'amour,"Mahom,Luiza"
15,0.503,0.888,0,-4.522,1,0.0386,0.00269,0.0458,0.0733,0.589,173.057,audio_features,5IfSQQzGijWKd7dbkbqHuN,spotify:track:5IfSQQzGijWKd7dbkbqHuN,https://api.spotify.com/v1/tracks/5IfSQQzGijWKd7dbkbqHuN,https://api.spotify.com/v1/audio-analysis/5IfSQQzGijWKd7dbkbqHuN,229107,4,2019-10-19T12:03:55Z,Rio,"Netsky,Digital Farm Animals"
16,0.743,0.568,2,-6.571,1,0.122,0.16,0.00202,0.294,0.338,119.825,audio_features,5fuCDbUO4N25kp71MunbDk,spotify:track:5fuCDbUO4N25kp71MunbDk,https://api.spotify.com/v1/tracks/5fuCDbUO4N25kp71MunbDk,https://api.spotify.com/v1/audio-analysis/5fuCDbUO4N25kp71MunbDk,212173,4,2019-10-16T06:53:56Z,Fuck le 17,13 Block
17,0.708,0.715,10,-4.594,0,0.248,0.396,0.0,0.16,0.71,171.971,audio_features,0X12Hd82DeTAqs7GM1VPAo,spotify:track:0X12Hd82DeTAqs7GM1VPAo,https://api.spotify.com/v1/tracks/0X12Hd82DeTAqs7GM1VPAo,https://api.spotify.com/v1/audio-analysis/0X12Hd82DeTAqs7GM1VPAo,209960,4,2019-10-15T20:30:06Z,Control Your Tempa,"Jahneration,Naâman"
18,0.562,0.734,1,-5.349,0,0.0361,0.599,2.76e-05,0.0816,0.463,77.501,audio_features,4sVqufkRucC6hzUBzxKmdd,spotify:track:4sVqufkRucC6hzUBzxKmdd,https://api.spotify.com/v1/tracks/4sVqufkRucC6hzUBzxKmdd,https://api.spotify.com/v1/audio-analysis/4sVqufkRucC6hzUBzxKmdd,184760,4,2019-10-15T12:12:28Z,Ce monde est cruel,Vald
19,0.794,0.713,3,-13.599,0,0.0547,0.00971,0.887,0.103,0.692,139.007,audio_features,4zppu2MxbDpZ4fNL7fiDC5,spotify:track:4zppu2MxbDpZ4fNL7fiDC5,https://api.spotify.com/v1/tracks/4zppu2MxbDpZ4fNL7fiDC5,https://api.spotify.com/v1/audio-analysis/4zppu2MxbDpZ4fNL7fiDC5,250869,4,2019-10-15T08:20:04Z,Warehouse,Stand High Patrol
0,0.881,0.418,11,-8.665,0,0.0467,0.00566,0.0308,0.0596,0.93,140.031,audio_features,3YVMy9J6ipoiP6efyl2VjX,spotify:track:3YVMy9J6ipoiP6efyl2VjX,https://api.spotify.com/v1/tracks/3YVMy9J6ipoiP6efyl2VjX,https://api.spotify.com/v1/audio-analysis/3YVMy9J6ipoiP6efyl2VjX,252444,4,2019-10-15T07:33:28Z,Unemployed,Stand High Patrol
1,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,audio_features,4Ljs6Dvpz7Arf9Ac8RN7tn,spotify:track:4Ljs6Dvpz7Arf9Ac8RN7tn,https://api.spotify.com/v1/tracks/4Ljs6Dvpz7Arf9Ac8RN7tn,https://api.spotify.com/v1/audio-analysis/4Ljs6Dvpz7Arf9Ac8RN7tn,210960,4,2019-10-14T13:22:53Z,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes,Adam Levine"
2,0.532,0.663,0,-5.886,0,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,audio_features,4a5pNRjwmzYQuEY1E7O6pj,spotify:track:4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/tracks/4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/audio-analysis/4a5pNRjwmzYQuEY1E7O6pj,159347,4,2019-10-14T11:36:15Z,Breakfast In America - Remastered,Supertramp
3,0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,audio_features,6mHOcVtsHLMuesJkswc0GZ,spotify:track:6mHOcVtsHLMuesJkswc0GZ,https://api.spotify.com/v1/tracks/6mHOcVtsHLMuesJkswc0GZ,https://api.spotify.com/v1/audio-analysis/6mHOcVtsHLMuesJkswc0GZ,251253,4,2019-10-14T11:32:15Z,The Logical Song - Remastered 2010,Supertramp
4,0.95,0.777,3,-4.706,0,0.0318,0.163,0.0,0.159,0.908,114.976,audio_features,2FA7oV7NBHVj5durMKJvtG,spotify:track:2FA7oV7NBHVj5durMKJvtG,https://api.spotify.com/v1/tracks/2FA7oV7NBHVj5durMKJvtG,https://api.spotify.com/v1/audio-analysis/2FA7oV7NBHVj5durMKJvtG,251400,4,2019-10-14T08:12:53Z,Stop You Coming And Come,Steel Pulse
5,0.402,0.952,11,-3.823,0,0.0389,0.000502,0.338,0.187,0.0877,174.002,audio_features,5bLJCuB51hOz1hZjCrR8ei,spotify:track:5bLJCuB51hOz1hZjCrR8ei,https://api.spotify.com/v1/tracks/5bLJCuB51hOz1hZjCrR8ei,https://api.spotify.com/v1/audio-analysis/5bLJCuB51hOz1hZjCrR8ei,263853,4,2019-10-14T08:12:45Z,Out Of Love,"Lexurus,Leah Rye"
6,0.479,0.416,4,-11.451,0,0.124,0.457,1.72e-05,0.118,0.514,79.593,audio_features,1k1Bqnv2R0uJXQN4u6LKYt,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,125093,4,2019-10-12T23:57:19Z,Ain't No Sunshine,Bill Withers
7,0.805,0.601,0,-9.7,0,0.0579,0.119,0.000129,0.0581,0.746,94.382,audio_features,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,238600,4,2019-10-12T23:56:54Z,Sexual Healing,Marvin Gaye
8,0.87,0.439,5,-8.039,1,0.0526,0.184,3.73e-05,0.0943,0.156,73.504,audio_features,6cRG9cevqdgcxsyJ3HqNnz,spotify:track:6cRG9cevqdgcxsyJ3HqNnz,https://api.spotify.com/v1/tracks/6cRG9cevqdgcxsyJ3HqNnz,https://api.spotify.com/v1/audio-analysis/6cRG9cevqdgcxsyJ3HqNnz,252680,4,2019-10-12T18:46:22Z,Along the River,Stand High Patrol
9,0.533,0.643,5,-7.593,1,0.0413,0.169,0.0,0.188,0.47,85.061,audio_features,00xBJ1IJSkErFWuuHxLPoP,spotify:track:00xBJ1IJSkErFWuuHxLPoP,https://api.spotify.com/v1/tracks/00xBJ1IJSkErFWuuHxLPoP,https://api.spotify.com/v1/audio-analysis/00xBJ1IJSkErFWuuHxLPoP,216321,4,2019-10-09T08:54:35Z,unendlichkeit - Main Edit,Cro
10,0.726,0.9,9,-4.134,1,0.0401,0.133,0.0,0.145,0.973,160.128,audio_features,2L6hCTpUlR2p7Su3hiSB0s,spotify:track:2L6hCTpUlR2p7Su3hiSB0s,https://api.spotify.com/v1/tracks/2L6hCTpUlR2p7Su3hiSB0s,https://api.spotify.com/v1/audio-analysis/2L6hCTpUlR2p7Su3hiSB0s,142463,4,2019-10-09T08:43:44Z,Einmal um die Welt,Cro
11,0.755,0.758,9,-6.855,0,0.0697,0.0052,0.0144,0.0661,0.389,100.036,audio_features,2GH5YPmXOoA9nWRnuhnLro,spotify:track:2GH5YPmXOoA9nWRnuhnLro,https://api.spotify.com/v1/tracks/2GH5YPmXOoA9nWRnuhnLro,https://api.spotify.com/v1/audio-analysis/2GH5YPmXOoA9nWRnuhnLro,210839,4,2019-10-08T14:51:18Z,Burning Bridges (Fakear Remix),"Patrice,Fakear"
12,0.616,0.734,1,-5.348,1,0.259,0.345,0.0,0.301,0.861,87.835,audio_features,1z79WX25pKF5y019lggl0S,spotify:track:1z79WX25pKF5y019lggl0S,https://api.spotify.com/v1/tracks/1z79WX25pKF5y019lggl0S,https://api.spotify.com/v1/audio-analysis/1z79WX25pKF5y019lggl0S,204133,4,2019-10-08T13:44:38Z,Call Pon Dem,Chezidek
13,0.723,0.648,7,-6.46,0,0.0972,0.565,0.0,0.315,0.521,111.467,audio_features,68Mw9GeJ5pZHWKqeGtcIMu,spotify:track:68Mw9GeJ5pZHWKqeGtcIMu,https://api.spotify.com/v1/tracks/68Mw9GeJ5pZHWKqeGtcIMu,https://api.spotify.com/v1/audio-analysis/68Mw9GeJ5pZHWKqeGtcIMu,217307,1,2019-10-08T12:45:52Z,Le capitaine de la barrique,La Rue Kétanou
14,0.751,0.646,11,-6.6,0,0.203,0.0838,0.0,0.0856,0.389,119.986,audio_features,4rYpOPo1irsoL3mN3G3MO6,spotify:track:4rYpOPo1irsoL3mN3G3MO6,https://api.spotify.com/v1/tracks/4rYpOPo1irsoL3mN3G3MO6,https://api.spotify.com/v1/audio-analysis/4rYpOPo1irsoL3mN3G3MO6,303942,4,2019-10-08T12:36:23Z,Juice (feat. Jazzy Bazz),"Jok'air,Jazzy Bazz"
15,0.552,0.709,5,-8.08,0,0.0376,0.0416,1.11e-05,0.142,0.393,139.988,audio_features,31ZCU4gQx6hUo0dsYJwDYZ,spotify:track:31ZCU4gQx6hUo0dsYJwDYZ,https://api.spotify.com/v1/tracks/31ZCU4gQx6hUo0dsYJwDYZ,https://api.spotify.com/v1/audio-analysis/31ZCU4gQx6hUo0dsYJwDYZ,213187,4,2019-10-08T08:33:28Z,Live Another Day,"Matrix & Futurebound,Alex Hepburn"
16,0.861,0.814,10,-5.683,1,0.291,0.0399,0.0,0.656,0.723,77.004,audio_features,7EHTPy5DiG9oRJaO5fecwo,spotify:track:7EHTPy5DiG9oRJaO5fecwo,https://api.spotify.com/v1/tracks/7EHTPy5DiG9oRJaO5fecwo,https://api.spotify.com/v1/audio-analysis/7EHTPy5DiG9oRJaO5fecwo,221609,4,2019-10-07T15:17:12Z,Never Cro Up,Cro
17,0.394,0.661,4,-8.684,1,0.193,0.0101,0.0,0.343,0.335,149.822,audio_features,2N3U8uTYhjX2KwGT0pf5x0,spotify:track:2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/tracks/2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/audio-analysis/2N3U8uTYhjX2KwGT0pf5x0,260987,4,2019-10-07T14:51:19Z,Everyday,"A$AP Rocky,Rod Stewart,Miguel,Mark Ronson"
18,0.417,0.622,5,-7.285,0,0.241,0.108,0.0,0.111,0.333,74.263,audio_features,428sZ1wAzEu0xd2L4r6BQV,spotify:track:428sZ1wAzEu0xd2L4r6BQV,https://api.spotify.com/v1/tracks/428sZ1wAzEu0xd2L4r6BQV,https://api.spotify.com/v1/audio-analysis/428sZ1wAzEu0xd2L4r6BQV,246667,4,2019-10-07T12:45:26Z,Les yeux sont sur nous,Jok'air
19,0.673,0.635,5,-5.926,0,0.37,0.36,0.0,0.118,0.604,174.032,audio_features,5YaZGWsaVTAW13MwPxuCRp,spotify:track:5YaZGWsaVTAW13MwPxuCRp,https://api.spotify.com/v1/tracks/5YaZGWsaVTAW13MwPxuCRp,https://api.spotify.com/v1/audio-analysis/5YaZGWsaVTAW13MwPxuCRp,203427,4,2019-10-07T09:09:53Z,Revolver rose,Lorenzo
0,0.706,0.546,11,-5.663,0,0.0276,0.00285,0.177,0.172,0.345,118.009,audio_features,4wdsvtx206HiZqhc2tyAyA,spotify:track:4wdsvtx206HiZqhc2tyAyA,https://api.spotify.com/v1/tracks/4wdsvtx206HiZqhc2tyAyA,https://api.spotify.com/v1/audio-analysis/4wdsvtx206HiZqhc2tyAyA,223745,4,2019-10-05T16:21:38Z,Jessy Bett,"Panda Dub,Art-X"
1,0.56,0.741,1,-6.816,1,0.159,0.14,0.0,0.327,0.704,167.992,audio_features,79cugxQ60zoKkqTKESX6tp,spotify:track:79cugxQ60zoKkqTKESX6tp,https://api.spotify.com/v1/tracks/79cugxQ60zoKkqTKESX6tp,https://api.spotify.com/v1/audio-analysis/79cugxQ60zoKkqTKESX6tp,234485,4,2019-10-05T16:19:27Z,Kingdom,"Degiheugi,Devi Reed"
2,0.743,0.495,9,-8.522,0,0.0432,0.00642,0.0394,0.206,0.099,119.99,audio_features,0itzUx9NiA3XubAfThbfyr,spotify:track:0itzUx9NiA3XubAfThbfyr,https://api.spotify.com/v1/tracks/0itzUx9NiA3XubAfThbfyr,https://api.spotify.com/v1/audio-analysis/0itzUx9NiA3XubAfThbfyr,290187,4,2019-10-05T15:12:37Z,Something New - Panda Dub remix,"Ksd,Marina P,Panda Dub"
3,0.516,0.909,8,-3.797,1,0.0438,0.00174,0.0403,0.0722,0.685,174.021,audio_features,6kn4vk4SuJRaCTrlusSLCU,spotify:track:6kn4vk4SuJRaCTrlusSLCU,https://api.spotify.com/v1/tracks/6kn4vk4SuJRaCTrlusSLCU,https://api.spotify.com/v1/audio-analysis/6kn4vk4SuJRaCTrlusSLCU,231924,4,2019-10-03T13:07:19Z,What It Looks Like,"Madface,Coppa,Meditat1on"
4,0.94,0.67,6,-7.515,0,0.046,0.0332,1.24e-05,0.0812,0.674,121.991,audio_features,7D8pt38gUH2T8m1wOoJbIG,spotify:track:7D8pt38gUH2T8m1wOoJbIG,https://api.spotify.com/v1/tracks/7D8pt38gUH2T8m1wOoJbIG,https://api.spotify.com/v1/audio-analysis/7D8pt38gUH2T8m1wOoJbIG,409288,4,2019-09-30T07:39:29Z,Si Yab Tumpa,3Kota
5,0.446,0.49,8,-9.384,1,0.344,0.197,7.93e-06,0.0724,0.197,130.051,audio_features,2q5Pdbu3nAvP4yZ9cjWCZy,spotify:track:2q5Pdbu3nAvP4yZ9cjWCZy,https://api.spotify.com/v1/tracks/2q5Pdbu3nAvP4yZ9cjWCZy,https://api.spotify.com/v1/audio-analysis/2q5Pdbu3nAvP4yZ9cjWCZy,173693,4,2019-09-28T14:48:35Z,Aquarium,Jok'air
6,0.738,0.683,4,-5.099,0,0.0622,0.0485,0.000728,0.0692,0.802,97.484,audio_features,5QO3UJc1gF1ummP75n2b3R,spotify:track:5QO3UJc1gF1ummP75n2b3R,https://api.spotify.com/v1/tracks/5QO3UJc1gF1ummP75n2b3R,https://api.spotify.com/v1/audio-analysis/5QO3UJc1gF1ummP75n2b3R,240093,4,2019-09-23T08:34:00Z,Goca Dünya,Altin Gün
7,0.895,0.44,10,-7.297,1,0.0554,0.092,0.0376,0.588,0.447,127.982,audio_features,4TaNA90m8e91sVNnEnUOQP,spotify:track:4TaNA90m8e91sVNnEnUOQP,https://api.spotify.com/v1/tracks/4TaNA90m8e91sVNnEnUOQP,https://api.spotify.com/v1/audio-analysis/4TaNA90m8e91sVNnEnUOQP,232512,4,2019-09-19T11:15:54Z,Loving You Is Easy,Camo & Krooked
8,0.868,0.417,2,-7.364,0,0.0725,0.758,0.0,0.0753,0.706,134.02,audio_features,6OPNvqvtQf9QT5zPh8wDk7,spotify:track:6OPNvqvtQf9QT5zPh8wDk7,https://api.spotify.com/v1/tracks/6OPNvqvtQf9QT5zPh8wDk7,https://api.spotify.com/v1/audio-analysis/6OPNvqvtQf9QT5zPh8wDk7,219333,4,2019-09-18T17:18:37Z,Ulysse,Ridan
9,0.609,0.663,5,-7.982,1,0.0269,0.00163,0.905,0.374,0.421,127.997,audio_features,4h2lnvRutg9wNGzzZ74ga7,spotify:track:4h2lnvRutg9wNGzzZ74ga7,https://api.spotify.com/v1/tracks/4h2lnvRutg9wNGzzZ74ga7,https://api.spotify.com/v1/audio-analysis/4h2lnvRutg9wNGzzZ74ga7,217093,4,2019-09-17T13:43:48Z,The Orientalist - Ondubground Remix,"High Tone,Ondubground"
10,0.59,0.904,8,-4.325,0,0.0719,4.98e-05,0.272,0.0885,0.661,173.969,audio_features,2YsAaDSPQ77accknTWLc1T,spotify:track:2YsAaDSPQ77accknTWLc1T,https://api.spotify.com/v1/tracks/2YsAaDSPQ77accknTWLc1T,https://api.spotify.com/v1/audio-analysis/2YsAaDSPQ77accknTWLc1T,375690,4,2019-09-17T11:45:03Z,Rastaman,Krak In Dub
